,Word,score
0,temple,0.7821845488221876
1,shopping,0.6991250855220638
2,told,0.5727976661935296
3,store,0.5618058262490873
4,gave,0.5179957306097714
5,car,0.515244807603547
6,came,0.474690895228823
7,movie,0.42056438079970954
8,walk,0.41694105581548074
9,project,0.4033541150991127
10,dog,0.3952697789919021
11,money,0.3934876314817612
12,started,0.38947084125143144
13,vacation,0.3359960326132501
14,cat,0.30821576932177597
15,completed,0.284888649398112
16,friends,0.2645214189370618
17,show,0.25931240994641847
18,watch,0.2499342627230744
19,phone,0.24838376543173607
20,family,0.2359768281751864
21,son,0.2349225762084905
22,took,0.22212991424735842
23,finished,0.20167852675328804
24,bought,0.18949515599218772
25,daughter,0.18920151318533118
26,job,0.18173881827229832
27,lunch,0.17796891879252832
28,game,0.17616764267757734
29,dinner,0.1730837622818261
30,team,0.16936029793818427
31,friend,0.16810192411052674
32,house,0.1679444551890593
33,brother,0.16785860125585197
34,trip,0.16279894367521489
35,food,0.16244843373214218
36,new,0.15351930022942784
37,birthday,0.1474065284593919
38,play,0.14186778055596844
39,video,0.1358840166251571
40,parents,0.12884996660924194
41,school,0.1274589743549794
42,made,0.11671917724411386
43,party,0.11292602728146019
44,played,0.11072516313829021
45,mother,0.10734208909824051
46,playing,0.10593399066777551
47,mom,0.10525539665680834
48,gift,0.10438498483733646
49,watched,0.1042263288116672
50,work,0.09994197028434644
51,girlfriend,0.09988967585945116
52,morning,0.09410916238883345
53,got,0.09367010343902354
54,sister,0.09222911315015797
55,watching,0.08936693401071165
56,ate,0.08744369393126299
57,boyfriend,0.08649616662383575
58,last,0.08557425042080338
59,finally,0.08471712685842175
60,today,0.07846514541450612
61,week,0.07722889214567683
62,home,0.07374869047985387
63,lot,0.073633329486257
64,went,0.07329463378020379
65,night,0.07302739120844408
66,college,0.0722484547771374
67,take,0.07115190724680186
68,yesterday,0.06873468428376857
69,enjoyed,0.06780839160270948
70,event,0.06094478957844292
71,met,0.05860115884068521
72,moment,0.057072895892791804
73,received,0.0559264678671688
74,talked,0.05545783663596547
75,hours,0.05538313662455518
76,life,0.05490323433724036
77,day,0.0510512792123698
78,working,0.05075270537714725
79,found,0.05059855404415123
80,going,0.04958752349758594
81,back,0.04949010962454273
82,wife,0.04861391047816265
83,spent,0.04747446386719713
84,old,0.04102741589888958
85,get,0.04017400902719148
86,weekend,0.03886643127355467
87,getting,0.037956770991976876
88,days,0.03712650115224963
89,saw,0.03661135735865457
90,husband,0.03642613063366029
91,two,0.033674476869831924
92,weeks,0.03357294985716067
93,visit,0.033162450156361246
94,past,0.02828695873638483
95,one,0.026110635007414704
96,month,0.025780235839662356
97,long,0.02217560106375943
98,ago,0.021783064892973818
99,well,0.01885968110136324
100,first,0.017458688240997725
101,felt,0.016186500911396964
102,like,0.015649258097930864
103,year,0.01434075657096834
104,really,0.013762458757312857
105,months,0.012850637178898646
106,see,0.012826956349519239
107,love,0.012131308471037189
108,feel,0.012092909568064664
109,time,0.010948221277106616
110,delicious,0.00931255216112898
111,nice,0.008303616276506416
112,favorite,0.008185144180370753
113,able,0.008086375353949649
114,big,0.005850153512285249
115,years,0.005800304501487774
116,happy,0.004812861325917506
117,together,0.001655663747229194
118,great,0.0015272930968641854
119,much,0.001371637576791025
120,best,0.0012786746702864655
121,another,0.0004939432204934059
122,good,0.00030341540089881753
